,index,url,supermarket,referencia
0,1718,https://www.carrefour.es/supermercado/gazpacho-suave-sin-pepino-extra-carrefour-sin-gluten-1-l/R-521030391/p,carrefour-es,100000
1,1838,https://www.carrefour.es/supermercado/lavavajillas-a-mano-aroma-aloe-vera-y-pepino-fairy-650-ml/R-prod370572/p,carrefour-es,100001
134,2784,https://www.carrefour.es/supermercado/lavavajillas-a-mano-aroma-aloe-vera-y-pepino-fairy-1015-ml/R-prod371746/p,carrefour-es,100002
193,4099,https://www.dia.es/compra-online/cuidado-personal/bano-e-higiene-personal/desodorantes/p/246287,dia-es,100003
44,160,https://www.carrefour.es/supermercado/tarrito-de-verduritas-con-delicias-de-pavo-desde-6-meses-hero-baby-sin-aceite-de-palma-235-g/R-521034211/p,carrefour-es,100004
453,160,https://www.dia.es/compra-online/bebidas/refrescos/p/284287,dia-es,100005
45,189,https://www.carrefour.es/supermercado/comida-humeda-de-pavo-con-zanahorias-para-perros-adultos-carrefour-300-g/R-720861035/p,carrefour-es,100006
46,486,https://www.carrefour.es/supermercado/solomillo-de-pavo-750-g-aprox/R-prod920183/p,carrefour-es,100007
47,491,https://www.carrefour.es/supermercado/pechuga-de-pavo-fileteada-carrefour-600-g-aprox/R-prod920182/p,carrefour-es,100008
48,576,https://www.carrefour.es/supermercado/salchichas-de-pavo-oscar-mayers-wieners-sin-gluten-sin-lactosa-200-g/R-521031129/p,carrefour-es,100009
49,622,https://www.carrefour.es/supermercado/cordon-bleu-de-pechuga-de-pollo-pavo-y-queso-400-g/R-VC4AECOMM-605127/p,carrefour-es,100010
50,1091,https://www.carrefour.es/supermercado/tarrito-de-pavo-con-verduras-desde-6-meses-ecologico-smileat-sin-gluten-230-g/R-846800388/p,carrefour-es,100011
250,1091,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/curados/p/273984,dia-es,100012
51,1406,https://www.carrefour.es/supermercado/flautas-de-pavo-pollo-y-queso-280-g/R-719204071/p,carrefour-es,100013
52,1506,https://www.carrefour.es/supermercado/pechuga-de-pavo-en-lonchas-finas-campofrio-finissimas-sin-gluten-sin-lactosa-170-g/R-VC4AECOMM-695362/p,carrefour-es,100014
53,1507,https://www.carrefour.es/supermercado/pechuga-de-pavo-en-lonchas-el-pozo-sin-gluten-200-g/R-VC4AECOMM-710119/p,carrefour-es,100015
54,1508,https://www.carrefour.es/supermercado/pechuga-de-pavo-bajo-en-grasa-y-sal-en-finas-lonchas-noel-sin-gluten-y-sin-lactosa-170-g/R-prod63744/p,carrefour-es,100016
64,1508,https://www.carrefour.es/supermercado/pechuga-de-pavo-bajo-en-grasa-y-sal-en-finas-lonchas-noel-sin-gluten-y-sin-lactosa-170-g/R-prod63744/p,carrefour-es,100017
55,1509,https://www.carrefour.es/supermercado/pechuga-de-pavo-en-finas-lonchas-el-pozo-bienstar-85-g/R-VC4AECOMM-710670/p,carrefour-es,100018
54,1508,https://www.carrefour.es/supermercado/pechuga-de-pavo-bajo-en-grasa-y-sal-en-finas-lonchas-noel-sin-gluten-y-sin-lactosa-170-g/R-prod63744/p,carrefour-es,100019
64,1508,https://www.carrefour.es/supermercado/pechuga-de-pavo-bajo-en-grasa-y-sal-en-finas-lonchas-noel-sin-gluten-y-sin-lactosa-170-g/R-prod63744/p,carrefour-es,100020
244,1056,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/curados/p/273994,dia-es,100021
271,1056,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/curados/p/273994,dia-es,100022
267,571,https://www.dia.es/compra-online/mascotas/gatos/p/220419,dia-es,100023
268,1016,https://www.dia.es/compra-online/frescos/carne/pavo/p/261352,dia-es,100024
269,1017,https://www.dia.es/compra-online/frescos/carne/pavo/p/269546,dia-es,100025
270,1018,https://www.dia.es/compra-online/frescos/carne/pavo/p/147147,dia-es,100026
244,1056,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/curados/p/273994,dia-es,100027
271,1056,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/curados/p/273994,dia-es,100028
272,1057,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/curados/p/274142,dia-es,100029
273,2051,https://www.dia.es/compra-online/mascotas/gatos/p/277529,dia-es,100030
274,2079,https://www.dia.es/compra-online/mascotas/gatos/p/257249,dia-es,100031
275,2100,https://www.dia.es/compra-online/mascotas/gatos/p/146349,dia-es,100032
868,2100,https://tienda.mercadona.es/product/2185/oreja-cerdo-cocida-adobada-rogusa-paquete,mercadona-es,100033
276,2103,https://www.dia.es/compra-online/mascotas/gatos/p/70292,dia-es,100034
1104,2103,https://tienda.mercadona.es/product/21235/lagrimitas-pollo-limon-empanadas-sin-gluten-bandeja,mercadona-es,100035
277,2401,https://www.dia.es/compra-online/bebe/potitos-y-tarritos/p/130098,dia-es,100036
278,2502,https://www.dia.es/compra-online/mascotas/perros/p/128782,dia-es,100037
279,2542,https://www.dia.es/compra-online/frescos/carne/pavo/p/261350,dia-es,100038
280,2543,https://www.dia.es/compra-online/frescos/carne/pavo/p/261349,dia-es,100039
281,2544,https://www.dia.es/compra-online/frescos/carne/pavo/p/186193,dia-es,100040
282,2545,https://www.dia.es/compra-online/frescos/carne/pavo/p/71825,dia-es,100041
283,3044,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273955,dia-es,100042
342,3044,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273955,dia-es,100043
284,3049,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/288885,dia-es,100044
285,3051,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/162106,dia-es,100045
286,3052,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/178002,dia-es,100046
287,3059,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/131775,dia-es,100047
288,3076,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273965,dia-es,100048
289,3081,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/288206,dia-es,100049
1046,3081,https://tienda.mercadona.es/product/83843.2/pan-nueces-85-rebanado,mercadona-es,100050
290,3082,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/161324,dia-es,100051
344,3082,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/161324,dia-es,100052
291,3085,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/187756,dia-es,100053
292,3087,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/125952,dia-es,100054
293,3093,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/74043,dia-es,100055
1254,3093,https://tienda.mercadona.es/product/68138/natillas-chocolate-con-leche-hacendado-pack-4,mercadona-es,100056
294,4200,https://www.dia.es/compra-online/bebe/potitos-y-tarritos/p/286898,dia-es,100057
295,4234,https://www.dia.es/compra-online/bebe/potitos-y-tarritos/p/289578,dia-es,100058
296,4751,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/220711,dia-es,100059
297,4753,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/256940,dia-es,100060
298,4759,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273733,dia-es,100061
299,4761,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273731,dia-es,100062
353,4761,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273731,dia-es,100063
300,4766,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273954,dia-es,100064
301,4769,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273964,dia-es,100065
302,4783,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/226215,dia-es,100066
303,4784,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/255685,dia-es,100067
304,4785,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273145,dia-es,100068
354,4785,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273145,dia-es,100069
305,4788,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273732,dia-es,100070
306,4798,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273810,dia-es,100071
307,4799,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273953,dia-es,100072
308,4800,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273952,dia-es,100073
309,4802,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273956,dia-es,100074
283,3044,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273955,dia-es,100075
342,3044,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273955,dia-es,100076
290,3082,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/161324,dia-es,100077
344,3082,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/161324,dia-es,100078
299,4761,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273731,dia-es,100079
353,4761,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273731,dia-es,100080
304,4785,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273145,dia-es,100081
354,4785,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/273145,dia-es,100082
850,1439,https://tienda.mercadona.es/product/52884/salchichas-cocidas-con-leche-campofrio-pollo-cerdo-pavo-paquete,mercadona-es,100083
956,1439,https://tienda.mercadona.es/product/52884/salchichas-cocidas-con-leche-campofrio-pollo-cerdo-pavo-paquete,mercadona-es,100084
914,4056,https://tienda.mercadona.es/product/53140/pechuga-pavo-horno-lena-campofrio-lonchas-pavofrio-paquete,mercadona-es,100085
984,4056,https://tienda.mercadona.es/product/53140/pechuga-pavo-horno-lena-campofrio-lonchas-pavofrio-paquete,mercadona-es,100086
936,60,https://tienda.mercadona.es/product/52094/bocaditos-salsa-gato-adulto-delikuit-con-pollo-pavo-verduras-bote,mercadona-es,100087
1050,60,https://tienda.mercadona.es/product/52094/bocaditos-salsa-gato-adulto-delikuit-con-pollo-pavo-verduras-bote,mercadona-es,100088
937,61,https://tienda.mercadona.es/product/52070/pate-gato-junior-delikuit-con-pollo-pavo-tarrina,mercadona-es,100089
938,63,https://tienda.mercadona.es/product/52091/pate-gato-adulto-delikuit-con-pollo-pavo-bote,mercadona-es,100090
939,66,https://tienda.mercadona.es/product/22007/bocaditos-gelatina-gato-junior-delikuit-con-pollo-pavo-paquete,mercadona-es,100091
450,83,https://www.dia.es/compra-online/bebidas/bebidas-isotonicas-y-energeticas/p/145040,dia-es,100092
940,83,https://tienda.mercadona.es/product/52148/snack-gato-barritas-compy-pato-pavo-pack-10,mercadona-es,100093
941,546,https://tienda.mercadona.es/product/52068/trozos-salsa-perro-adulto-delikuit-con-ternera-pavo-verduras-tarrina,mercadona-es,100094
1055,546,https://tienda.mercadona.es/product/52068/trozos-salsa-perro-adulto-delikuit-con-ternera-pavo-verduras-tarrina,mercadona-es,100095
550,926,https://www.dia.es/compra-online/dulces-de-navidad/turrones/p/265837,dia-es,100096
942,926,https://tienda.mercadona.es/product/25353/solomillo-pavo-marinado-congelado-paquete,mercadona-es,100097
554,937,https://www.dia.es/compra-online/dulces-de-navidad/turrones/p/284266,dia-es,100098
943,937,https://tienda.mercadona.es/product/25376/jamoncitos-pavo-duplo-congelados-paquete,mercadona-es,100099
944,950,https://tienda.mercadona.es/product/3976/burger-pavo-espinacas-bandeja,mercadona-es,100100
945,959,https://tienda.mercadona.es/product/2870/preparado-carne-picada-pollo-pavo-bandeja,mercadona-es,100101
32,962,https://www.carrefour.es/supermercado/papel-de-horno-en-rollo-carrefour-15-metros/R-prod392803/p,carrefour-es,100102
946,962,https://tienda.mercadona.es/product/63007/nuggets-pavo-hacendado-ultracongelados-paquete,mercadona-es,100103
947,1322,https://tienda.mercadona.es/product/4524/filetes-pechuga-pavo-procavi-corte-fino-bandeja,mercadona-es,100104
948,1323,https://tienda.mercadona.es/product/2792/tacos-pavo-bandeja,mercadona-es,100105
949,1324,https://tienda.mercadona.es/product/4109/filetes-pavo-contramuslo-procavi-bandeja,mercadona-es,100106
950,1353,https://tienda.mercadona.es/product/2794/filetes-pechuga-pavo-bandeja,mercadona-es,100107
951,1354,https://tienda.mercadona.es/product/4523/chuletas-pavo-contramuslo-bandeja,mercadona-es,100108
378,1355,https://www.dia.es/compra-online/despensa/salsas/mayonesa-y-otras-salsas/p/188047,dia-es,100109
952,1355,https://tienda.mercadona.es/product/25926/solomillo-pavo-bandeja,mercadona-es,100110
94,1358,https://www.carrefour.es/supermercado/carrefour-te-de-limon-botella-15-l/R-522714739/p,carrefour-es,100111
379,1358,https://www.dia.es/compra-online/despensa/salsas/mayonesa-y-otras-salsas/p/211072,dia-es,100112
953,1358,https://tienda.mercadona.es/product/4384/medallones-solomillo-pavo-procavi-bandeja,mercadona-es,100113
954,1409,https://tienda.mercadona.es/product/53056/salchichas-cocidas-hacendado-pollo-pavo-sabor-ahumado-pack-2,mercadona-es,100114
955,1412,https://tienda.mercadona.es/product/53059/salchichas-cocidas-bocata-hacendado-pollo-pavo-sabor-ahumado-pack-2,mercadona-es,100115
850,1439,https://tienda.mercadona.es/product/52884/salchichas-cocidas-con-leche-campofrio-pollo-cerdo-pavo-paquete,mercadona-es,100116
956,1439,https://tienda.mercadona.es/product/52884/salchichas-cocidas-con-leche-campofrio-pollo-cerdo-pavo-paquete,mercadona-es,100117
957,1441,https://tienda.mercadona.es/product/53060/salchichas-cocidas-hacendado-pollo-pavo-con-queso-sabor-ahumado-pack-2,mercadona-es,100118
958,2066,https://tienda.mercadona.es/product/3561/burger-pavo-pollo-bandeja,mercadona-es,100119
959,2075,https://tienda.mercadona.es/product/3452/preparado-carne-picada-pollo-pavo-bandeja,mercadona-es,100120
960,2087,https://tienda.mercadona.es/product/23306/fiambre-pechuga-pavo-adobada-bandeja,mercadona-es,100121
961,2093,https://tienda.mercadona.es/product/2837/chuletas-pavo-ajillo-bandeja,mercadona-es,100122
962,2094,https://tienda.mercadona.es/product/4156/brochetas-pavo-bandeja,mercadona-es,100123
963,2095,https://tienda.mercadona.es/product/2836/pechugas-pavo-pimenton-bandeja,mercadona-es,100124
964,2098,https://tienda.mercadona.es/product/3443/tacos-pavo-ajillo-bandeja,mercadona-es,100125
965,2173,https://tienda.mercadona.es/product/59252/pechuga-pavo-bajo-sal-hacendado-finas-lonchas-pack-2,mercadona-es,100126
1015,2173,https://tienda.mercadona.es/product/59252/pechuga-pavo-bajo-sal-hacendado-finas-lonchas-pack-2,mercadona-es,100127
619,2174,https://www.dia.es/compra-online/bebidas/batidos-y-horchata/p/266614,dia-es,100128
966,2174,https://tienda.mercadona.es/product/67972/pechuga-pavo-hacendado-finas-lonchas-pack-2,mercadona-es,100129
967,2175,https://tienda.mercadona.es/product/59159/salchichon-pavo-hacendado-lonchas-pack-4,mercadona-es,100130
968,2176,https://tienda.mercadona.es/product/59138/lomo-pavo-hacendado-lonchas-pack-4,mercadona-es,100131
620,2178,https://www.dia.es/compra-online/bebidas/batidos-y-horchata/p/115833,dia-es,100132
969,2178,https://tienda.mercadona.es/product/59222/dados-pavo-hacendado-pack-2,mercadona-es,100133
970,2180,https://tienda.mercadona.es/product/59336/mortadela-pavo-hacendado-finas-lonchas-paquete,mercadona-es,100134
971,2183,https://tienda.mercadona.es/product/59283/pechuga-pavo-noel-lonchas-muy-finas-paquete,mercadona-es,100135
972,2184,https://tienda.mercadona.es/product/59218/jamon-pavo-hacendado-pieza,mercadona-es,100136
973,2185,https://tienda.mercadona.es/product/59227/pechuga-pavo-bajo-sal-hacendado-pieza,mercadona-es,100137
1016,2185,https://tienda.mercadona.es/product/59227/pechuga-pavo-bajo-sal-hacendado-pieza,mercadona-es,100138
974,2563,https://tienda.mercadona.es/product/53147/salchichas-cocidas-solo-3-grasa-hacendado-pavo-sabor-ahumado-pack-2,mercadona-es,100139
975,2575,https://tienda.mercadona.es/product/59158/chorizo-pavo-hacendado-lonchas-pack-4,mercadona-es,100140
976,2636,https://tienda.mercadona.es/product/52181/crema-untar-pavo-hacendado-pack-2,mercadona-es,100141
977,3560,https://tienda.mercadona.es/product/52058/pate-perro-junior-delikuit-con-pollo-pavo-verduras-tarrina,mercadona-es,100142
978,3795,https://tienda.mercadona.es/product/9246/papilla-verduritas-con-delicias-pavo-hero-baby-natur-6-meses-tarrito,mercadona-es,100143
979,4049,https://tienda.mercadona.es/product/59247/pechuga-pavo-bajo-sal-hacendado-finas-lonchas-paquete,mercadona-es,100144
1024,4049,https://tienda.mercadona.es/product/59247/pechuga-pavo-bajo-sal-hacendado-finas-lonchas-paquete,mercadona-es,100145
980,4050,https://tienda.mercadona.es/product/59207/pechuga-pavo-hacendado-finas-lonchas-paquete,mercadona-es,100146
981,4051,https://tienda.mercadona.es/product/59230/pechuga-pavo-0-mg-hacendado-corte-paquete,mercadona-es,100147
982,4052,https://tienda.mercadona.es/product/59165/longaniza-pavo-extra-hacendado-lonchas-pack-4,mercadona-es,100148
983,4053,https://tienda.mercadona.es/product/56619/jamon-pavo-hacendado-finas-lonchas-paquete,mercadona-es,100149
914,4056,https://tienda.mercadona.es/product/53140/pechuga-pavo-horno-lena-campofrio-lonchas-pavofrio-paquete,mercadona-es,100150
984,4056,https://tienda.mercadona.es/product/53140/pechuga-pavo-horno-lena-campofrio-lonchas-pavofrio-paquete,mercadona-es,100151
985,4057,https://tienda.mercadona.es/product/59217/pechuga-pavo-0-mg-hacendado-pieza,mercadona-es,100152
986,4058,https://tienda.mercadona.es/product/59168/pechuga-pavo-natural-noel-lonchas-paquete,mercadona-es,100153
987,4060,https://tienda.mercadona.es/product/55136/longaniza-pavo-imperial-extra-hacendado-pieza,mercadona-es,100154
988,4062,https://tienda.mercadona.es/product/59089/pechuga-pavo-pimienta-hacendado-finas-lonchas-paquete,mercadona-es,100155
989,4063,https://tienda.mercadona.es/product/4577/fiambre-pechuga-pavo-sajonia-serrano-ahumado-natural-paquete,mercadona-es,100156
1025,4063,https://tienda.mercadona.es/product/4577/fiambre-pechuga-pavo-sajonia-serrano-ahumado-natural-paquete,mercadona-es,100157
990,4524,https://tienda.mercadona.es/product/59033/chorizo-pavo-imperial-extra-hacendado-pieza,mercadona-es,100158
965,2173,https://tienda.mercadona.es/product/59252/pechuga-pavo-bajo-sal-hacendado-finas-lonchas-pack-2,mercadona-es,100159
1015,2173,https://tienda.mercadona.es/product/59252/pechuga-pavo-bajo-sal-hacendado-finas-lonchas-pack-2,mercadona-es,100160
973,2185,https://tienda.mercadona.es/product/59227/pechuga-pavo-bajo-sal-hacendado-pieza,mercadona-es,100161
